Goal,Target,Indicators
2. Zero Hunger,2.1 End hunger for all,2.1.1 Prevalence of undernourishment
2. Zero Hunger,2.1 End hunger for all,"2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)"
2. Zero Hunger,2.2 End all forms of malnutrition,2.2.1 Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age
2. Zero Hunger,2.2 End all forms of malnutrition,"2.2.2 Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"
2. Zero Hunger,2.2 End all forms of malnutrition,"2.2.3 Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)"
2. Zero Hunger,2.3 Double the agricultural productivity and incomes of small-scale food producers,2.3.1 Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size
2. Zero Hunger,2.3 Double the agricultural productivity and incomes of small-scale food producers,"2.3.2 Average income of small-scale food producers, by sex and indigenous status"
2. Zero Hunger,2.4 Ensure sustainable food production systems,2.4.1 Proportion of agricultural area under productive and sustainable agriculture
2. Zero Hunger,"2.5 Maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals",2.5.1 Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities
2. Zero Hunger,"2.5 Maintain the genetic diversity of seeds, cultivated plants and farmed and domesticated animals",2.5.2 Proportion of local breeds classified as being at risk of extinction
2. Zero Hunger,"2.a Increase investment in rural infrastructure, agricultural research and echnology development",2.a.1 The agriculture orientation index for government expenditures
2. Zero Hunger,"2.a Increase investment in rural infrastructure, agricultural research and echnology development",2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector
2. Zero Hunger,2.b Correct and prevent trade restrictions and distortions,2.b.1 Agricultural export subsidies
2. Zero Hunger,2.c Ensure the proper functioning of food commodity markets,2.c.1 Indicator of food price anomalies
6. Clean Water and Sanitation,6.1 Achieve universal and equitable access to safe and affordable drinking water,6.1.1 Proportion of population using safely managed drinking water services
6. Clean Water and Sanitation,6.2 Achieve access to adequate and equitable sanitation and hygiene,6.2.1 Proportion of population using (a) safely managed sanitation services and (b) a hand-washing facility with soap and water
6. Clean Water and Sanitation,6.3 Improve water quality by reducing pollution,6.3.1 Proportion of domestic and industrial wastewater flows safely treated
