Goal,Target,Indicators
7. Affordable and Clean Energy,"7.1 Ensure universal access to affordable, reliable and modern energy services",7.1.1 Proportion of population with access to electricity
7. Affordable and Clean Energy,"7.1 Ensure universal access to affordable, reliable and modern energy services",7.1.2 Proportion of population with primary reliance on clean fuels and technology
7. Affordable and Clean Energy,7.2 Increase substantially the share of renewable energy in the global energy mix,7.2.1 Renewable energy share in the total final energy consumption
7. Affordable and Clean Energy,7.3 Double the global rate of improvement in energy efficiency,7.3.1 Energy intensity measured in terms of primary energy and GDP
7. Affordable and Clean Energy,7.a Enhance international cooperation to facilitate access to clean energy research and technology,"7.a.1 International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems"
7. Affordable and Clean Energy,7.b Expand infrastructure and upgrade technology for supplying modern and sustainable energy services for all in developing countries,7.b.1 Installed renewable energy-generating capacity in developing countries (in watts per capita)
12. Responsible Consumption and Production,12.1 Implement the 10‑Year Framework of Programmes on Sustainable Consumption and Production Patterns,"12.1.1 Number of countries developing, adopting or implementing policy instruments aimed at supporting the shift to sustainable consumption and production"
12. Responsible Consumption and Production,12.2 Achieve the sustainable management and efficient use of natural resources,"12.2.1 Material footprint, material footprint per capita, and material footprint per GDP"
12. Responsible Consumption and Production,12.2 Achieve the sustainable management and efficient use of natural resources,"12.2.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP"
12. Responsible Consumption and Production,12.3 Halve per capita global food waste at the retail and consumer levels,12.3.1 (a) Food loss index and (b) food waste index
12. Responsible Consumption and Production,12.4 Achieve the environmentally sound management of chemicals and all wastes,"12.4.1 Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
12. Responsible Consumption and Production,12.4 Achieve the environmentally sound management of chemicals and all wastes,"12.4.2 (a) Hazardous waste generated per capita; and (b) proportion of hazardous waste treated, by type of treatment"
12. Responsible Consumption and Production,"12.5 Reduce waste generation through prevention, reduction, recycling and reuse","12.5.1 National recycling rate, tons of material recycled"
12. Responsible Consumption and Production,12.6 Encourage companies to adopt sustainable practices and to integrate sustainability information into their reporting cycle,12.6.1 Number of companies publishing sustainability reports
12. Responsible Consumption and Production,"12.7 Promote public procurement practices that are sustainable, in accordance with national policies and priorities",12.7.1 Number of countries implementing sustainable public procurement policies and action plans3
12. Responsible Consumption and Production,12.8 Ensure access of relevant information and awareness for sustainable development and lifestyles in harmony with nature,12.8.1 Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education; and (d) student assessment
12. Responsible Consumption and Production,12.a Support developing countries to strengthen their scientific and technological capacity,12.a.1 Installed renewable energy-generating capacity in developing countries (in watts per capita)
12. Responsible Consumption and Production,12.b Develop and implement tools to monitor sustainable development impacts for sustainable tourism,12.b.1 Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism sustainability
12. Responsible Consumption and Production,12.c Rationalize inefficient fossil-fuel subsidies,12.c.1 Amount of fossil-fuel subsidies (production and consumption) per unit of GDP
