Goal,Target,Indicators
5. Gender Equality,5.6 Ensure universal access to sexual and reproductive health and reproductive rights,"5.6.2 Number of countries with laws and regulations that guarantee full and equal access to women and men aged 15 years and older to sexual and reproductive health care, information and education"
5. Gender Equality,5.a Undertake reforms to give women equal rights to economic resources,"5.a.1 (a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure"
5. Gender Equality,5.a Undertake reforms to give women equal rights to economic resources,5.a.2 Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control
5. Gender Equality,5.b Enhance the use of enabling technology,"5.b.1 Proportion of individuals who own a mobile telephone, by sex"
5. Gender Equality,5.c Adopt and strengthen policies and enforceable legislation for the promotion of gender equality,5.c.1 Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment
10. Reduced Inequalities,10.1 Achieve and sustain income growth of the bottom 40 per cent of the population,10.1.1 Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population and the total population
10. Reduced Inequalities,"10.2 Empower and promote the social, economic and political inclusion of all","10.2.1 Proportion of people living below 50 per cent of median income, by sex, age and persons with disabilities"
10. Reduced Inequalities,10.3 Ensure equal opportunity and reduce inequalities of outcome,10.3.1 Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law
10. Reduced Inequalities,"10.4 Adopt policies, especially fiscal, wage and social protection policies",10.4.1 Labour share of GDP
10. Reduced Inequalities,"10.4 Adopt policies, especially fiscal, wage and social protection policies",10.4.2 Redistributive impact of fiscal policy2
10. Reduced Inequalities,10.5 Improve the regulation and monitoring of global financial markets and institutions,10.5.1 Financial Soundness Indicators
10. Reduced Inequalities,10.6 Ensure enhanced representation and voice for developing countries,10.6.1 Proportion of members and voting rights of developing countries in international organizations
10. Reduced Inequalities,"10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people",10.7.1 Recruitment cost borne by employee as a proportion of monthly income earned in country of destination
10. Reduced Inequalities,"10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people","10.7.2 Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
10. Reduced Inequalities,"10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people",10.7.3 Number of people who died or disappeared in the process of migration towards an international destination
10. Reduced Inequalities,"10.7 Facilitate orderly, safe, regular and responsible migration and mobility of people","10.7.4 Proportion of the population who are refugees, by country of origin"
10. Reduced Inequalities,10.a Implement the principle of special and differential treatment for developing countries,10.a.1 Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff
10. Reduced Inequalities,10.b Encourage official development assistance and financial flows,"10.b.1 Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
10. Reduced Inequalities,10.c Reduce to less than 3 per cent the transaction costs of migrant remittances,10.c.1 Remittance costs as a proportion of the amount remitted
