Goal,Target,Indicators
"9. Industry, Innovation, and Infrastructure","9.1 Develop quality, reliable, sustainable and resilient infrastructure",9.1.1 Proportion of the rural population who live within 2 km of an all-season road
"9. Industry, Innovation, and Infrastructure","9.1 Develop quality, reliable, sustainable and resilient infrastructure","9.1.2 Passenger and freight volumes, by mode of transport"
"9. Industry, Innovation, and Infrastructure",9.2 Promote inclusive and sustainable industrialization,9.2.1 Manufacturing value added as a proportion of GDP and per capita
"9. Industry, Innovation, and Infrastructure",9.2 Promote inclusive and sustainable industrialization,9.2.2 Manufacturing employment as a proportion of total employment
"9. Industry, Innovation, and Infrastructure",9.3 Increase the access of small-scale industrial and other enterprises,9.3.1 Proportion of small-scale industries in total industry value added
"9. Industry, Innovation, and Infrastructure",9.3 Increase the access of small-scale industrial and other enterprises,9.3.2 Proportion of small-scale industries with a loan or line of credit
"9. Industry, Innovation, and Infrastructure",9.4 Upgrade infrastructure and retrofit industries to make them sustainable,9.4.1 CO2 emission per unit of value added
"9. Industry, Innovation, and Infrastructure","9.5 Enhance scientific research, upgrade the technological capabilities of industrial sectors",9.5.1 Research and development expenditure as a proportion of GDP
"9. Industry, Innovation, and Infrastructure","9.5 Enhance scientific research, upgrade the technological capabilities of industrial sectors",9.5.2 Researchers (in full-time equivalent) per million inhabitants
"9. Industry, Innovation, and Infrastructure",9.a Facilitate sustainable and resilient infrastructure development in developing countries,9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure
"9. Industry, Innovation, and Infrastructure","9.b Support domestic technology development, research and innovation in developing countries",9.b.1 Proportion of medium and high-tech industry value added in total value added
"9. Industry, Innovation, and Infrastructure",9.c Significantly increase access to information and communications technology,"9.c.1 Proportion of population covered by a mobile network, by technology"
